
|                                  :id | :nec |                                        :name |                                                                                                                        :address |        :distrito |                   :concelho |     :cp7 |                                                                                                                                                                        :concelho-href |                                                                                                                                         :imt-href |
| ff973da4-bf2f-3d11-80b0-049f24b398bb |   12 |                                       Bastos |                                                                                      Avª Fernão de Magalhães, 15 4300-190 PORTO |            Porto |                       Porto | 4300-190 |                            https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Porto&Concelho=Porto |                                       https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Bastos222.aspx |
| 23daa2b3-9e42-301c-9c36-0fa565a39eab |   13 |                                      Morarte |                                                                                  Rua Guedes de Azevedo, 131 - 1º 4000-272 PORTO |            Porto |                       Porto | 4000-272 |                            https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Porto&Concelho=Porto |                                      https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Morarte679.aspx |
| f4b12565-04dc-3fa7-aa14-2a991a0b1e46 |   14 |                                       Carsil |                                                                                       Rua Capelo da Lagoa n º 9 4420-402 VALBOM |            Porto |                    Gondomar | 4420-402 |                         https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Porto&Concelho=Gondomar |                                       https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Carsil290.aspx |
| 4edab0dc-ed0c-3bed-9a94-abb3d07f0ef4 |   15 |                            Estrela Torriense |                                                                               Avª 5 de Outubro, Nº 2– 1º 2560-270 TORRES VEDRAS |           Lisboa |               Torres Vedras | 2560-270 |                 https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Torres%20Vedras |                             https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/EstrelaTorriense427.aspx |
| e704454f-c2a2-39e1-9552-5289e0dfe89f |   16 |                                      Moderna |                                                                    Av.ª Prof. Aníbal de Bettencourt, n.º 1, 1º, 1600-189 LISBOA |           Lisboa |                      Lisboa | 1600-189 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                                      https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Moderna656.aspx |
| e6a6cc2d-548b-38cb-9dce-833e506d3136 |   17 |                                  Hugo Vieira |                                                                               Rua José Gomes Ferreira, n.º 314 ; 4150-441 Porto |            Porto |                       Porto | 4150-441 |                            https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Porto&Concelho=Porto |                                      https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/HugoVieira.aspx |
| eb9a9c5a-1886-303d-8c09-19753b64a276 |   19 |                    Eduardo Pereira de Campos |                                                                                          Avª Álvares Cabral, 24 1250-018 LISBOA |           Lisboa |                      Lisboa | 1250-018 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                       https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/EduardoPereiradeCampos401.aspx |
| 694e8b90-f847-33c1-a144-14a596eb4424 |   20 |                                     Ouriense |                                                                           Praceta Prof. António de Oliveira Nº 4 2490-502 OURÉM |         Santarém |                       Ourém | 2490-502 |                    https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Santarem&Concelho=Our%C3%A9m |                                     https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Ouriense757.aspx |
| b5bbfd47-873a-30df-bde2-4f473d1b009c |   21 |                                 S. Cristóvão |                                                                                        Avª João XXI, 9 - 1º Dtº 1000-298 LISBOA |           Lisboa |                      Lisboa | 1000-298 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                                   https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/SCristovao878.aspx |
| af6c4c44-cbe3-34d0-866f-3b65a6dbcb1b |   22 |                                M. M. Ouressa |                                                            Rua Francisco Sá Carneiro, Nº 28, Loja C - cave 2725-316 MEM MARTINS |           Lisboa |                      Sintra | 2725-316 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Sintra |                                    https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/MMOuressa614.aspx |
| 88ad6878-8beb-31a5-8679-a25d4e888e96 |   23 |                                   Ribatejana |                                                                                   Largo Infante Santo, nº 4-1ºEsq 2000 SANTARÉM |         Santarém |                    Santarém |     2000 |                 https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Santarem&Concelho=Santar%C3%A9m |                                   https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Ribatejana847.aspx |
| 5e6620b6-fa1b-37a4-8cfd-d57269484aa3 |   24 |                                        Dokas |                                                                                Rua Prior do Crato, 67 – 1º Esqº 1350-259 LISBOA |           Lisboa |                      Lisboa | 1350-259 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                                           https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Dokas.aspx |
| da18076d-e196-3d5e-947f-9ef902b4fc6a |   25 |                                     M. Silva |                                                                                Rua Dr. Carlos França nº 27 A 2560 TORRES VEDRAS |           Lisboa |               Torres Vedras |     2560 |                 https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Torres%20Vedras |                                       https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/MSilva616.aspx |
| 75ac46fd-1378-38ba-afab-1c2279f30f62 |   27 |                       Vencedora Alcanterense |                                                                                 Largo do Calvário, 16 – R/C Dtº 1300-114 LISBOA |           Lisboa |                      Lisboa | 1300-114 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                       https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/VencedoraAlcanterense1042.aspx |
| ced40618-e18e-393a-bbe6-e8fc4d285815 |   28 |                                      Benfica |                                                                                     Estrela de Benfica, 743 –1º 1500-089 LISBOA |           Lisboa |                      Lisboa | 1500-089 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                                      https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Benfica243.aspx |
| 1a733a73-7d22-3db1-ae12-e51ecb793ee1 |   29 |                                   Auto Águia |                                                                                    Rua Chaves de Oliveira, Nº 60 4350-102 PORTO |            Porto |                       Porto | 4350-102 |                            https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Porto&Concelho=Porto |                                    https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/AutoAguia138.aspx |
| c66da933-0dd0-341c-acec-64b071c08058 |   30 |                    Técnica Automóvel Silvino |                                                                                 Avª da República, 46 – Cave esq 1050-195 LISBOA |           Lisboa |                      Lisboa | 1050-195 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                      https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/TecnicaAutomovelSilvino996.aspx |
| fa71fdd9-5080-34c2-9cf8-7ec157f4300e |   31 |                                 A Portuguesa |                                                                                     Rua Carlos Mardel, 132 - 1º 1900-127 LISBOA |           Lisboa |                      Lisboa | 1900-127 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                                  https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/APortuguesa039.aspx |
| 4018b02c-d99c-3742-9b52-3f0b0410fbbf |   32 |                     Instrutora de Automóveis |                                                                        Alameda D. Afonso Henriques, 64 r/c Esqº 1900-119 LISBOA |           Lisboa |                      Lisboa | 1900-119 |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                       https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/InstrutoradeAutomoveis565.aspx |
| b4219ae3-60f2-3389-93ee-47efe5ba3973 |   34 |                                     Destaque |                                                                                           Rua Sarmento Vieira, n.º 11; 7080-075 |            Évora |                Vendas Novas | 7080-075 |                   https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Evora&Concelho=Vendas%20Novas |                                     https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Oriental754.aspx |
